fid,CVEGEO,CVE_ENT,CVE_MUN,CVE_LOC,CVE_AGEB,CVE_MZA,AMBITO,TIPOMZA,POBTOT,POBFEM,POBMAS,P_0A2,P_0A2_F,P_0A2_M,P_3YMAS,P_3YMAS_F,P_3YMAS_M,P_5YMAS,P_5YMAS_F,P_5YMAS_M,P_12YMAS,P_12YMAS_F,P_12YMAS_M,P_15YMAS,P_15YMAS_F,P_15YMAS_M,P_18YMAS,P_18YMAS_F,P_18YMAS_M,P_3A5,P_3A5_F,P_3A5_M,P_6A11,P_6A11_F,P_6A11_M,P_8A14,P_8A14_F,P_8A14_M,P_12A14,P_12A14_F,P_12A14_M,P_15A17,P_15A17_F,P_15A17_M,P_18A24,P_18A24_F,P_18A24_M,P_15A49_F,P_60YMAS,P_60YMAS_F,P_60YMAS_M,REL_H_M,POB0_14,POB15_64,POB65_MAS,PROM_HNV,PNACENT,PNACENT_F,PNACENT_M,PNACOE,PNACOE_F,PNACOE_M,PRES2015,PRES2015_F,PRES2015_M,PRESOE15,PRESOE15_F,PRESOE15_M,P3YM_HLI,P3YM_HLI_F,P3YM_HLI_M,P3HLINHE,P3HLINHE_F,P3HLINHE_M,P3HLI_HE,P3HLI_HE_F,P3HLI_HE_M,P5_HLI,P5_HLI_NHE,P5_HLI_HE,PHOG_IND,POB_AFRO,POB_AFRO_F,POB_AFRO_M,PCON_DISC,PCDISC_MOT,PCDISC_VIS,PCDISC_LEN,PCDISC_AUD,PCDISC_M_1,PCDISC_MEN,PCON_LIMI,PCLIM_CSB,PCLIM_VIS,PCLIM_HACO,PCLIM_OAUD,PCLIM_MOT2,PCLIM_RE_C,PCLIM_PMEN,PSIND_LIM,P3A5_NOA,P3A5_NOA_F,P3A5_NOA_M,P6A11_NOA,P6A11_NOAF,P6A11_NOAM,P12A14NOA,P12A14NOAF,P12A14NOAM,P15A17A,P15A17A_F,P15A17A_M,P18A24A,P18A24A_F,P18A24A_M,P8A14AN,P8A14AN_F,P8A14AN_M,P15YM_AN,P15YM_AN_F,P15YM_AN_M,P15YM_SE,P15YM_SE_F,P15YM_SE_M,P15PRI_IN,P15PRI_INF,P15PRI_INM,P15PRI_CO,P15PRI_COF,P15PRI_COM,P15SEC_IN,P15SEC_INF,P15SEC_INM,P15SEC_CO,P15SEC_COF,P15SEC_COM,P18YM_PB,P18YM_PB_F,P18YM_PB_M,GRAPROES,GRAPROES_F,GRAPROES_M,PEA,PEA_F,PEA_M,PE_INAC,PE_INAC_F,PE_INAC_M,POCUPADA,POCUPADA_F,POCUPADA_M,PDESOCUP,PDESOCUP_F,PDESOCUP_M,PSINDER,PDER_SS,PDER_IMSS,PDER_ISTE,PDER_ISTEE,PAFIL_PDOM,PDER_SEGP,PDER_IMSSB,PAFIL_IPRI,PAFIL_OTRA,P12YM_SOLT,P12YM_CASA,P12YM_SEPA,PCATOLICA,PRO_CRIEVA,POTRAS_REL,PSIN_RELIG,TOTHOG,HOGJEF_F,HOGJEF_M,POBHOG,PHOGJEF_F,PHOGJEF_M,VIVTOT,TVIVHAB_2,TVIVPAR,VIVPAR_HAB,TVIVPARHAB,VIVPAR_DES,VIVPAR_UT,OCUPVIVPAR,PROM_OCUP,PRO_OCUP_C,VPH_PISODT,VPH_PISOTI,VPH_1DOR,VPH_2YMASD,VPH_1CUART,VPH_2CUART,VPH_3YMASC,VPH_C_ELEC,VPH_S_ELEC,VPH_AGUADV,VPH_AEASP,VPH_AGUAFV,VPH_TINACO,VPH_CISTER,VPH_EXCSA,VPH_LETR,VPH_DRENAJ,VPH_NODREN,VPH_C_SERV,VPH_NDEAED,VPH_DSADMA,VPH_NDACMM,VPH_SNBIEN,VPH_REFRI,VPH_LAVAD,VPH_HMICRO,VPH_AUTOM,VPH_MOTO,VPH_BICI,VPH_RADIO,VPH_TV,VPH_PC,VPH_TELEF,VPH_CEL,VPH_INTER,VPH_STVP,VPH_SPMVPI,VPH_CVJ,VPH_SINRTV,VPH_SINLTC,VPH_SINCIN,VPH_SINTIC,AREA_MZA,Centro_X,centro_Y,Administra,Administ_1,Administ_2,Administ_3,Administ_4,Contra.la,Contra.l_1,Contra.l_2,Daños.por,Derrame.o,Derrame._1,Derrame._2,Derrame._3,Disturbio.,Disturbi_1,Disturbi_2,Disturbi_3,Servicios.,Servicio_1,Servicio_2,TM.INTOXIC,DESORDEN_S
19108,0901700010403001,9,17,1,403,1,Urbana,Típica,0,11.06864206,10.9155916,2.962141701,1.402328311,1.127390374,69.34477572,34.96265729,34.38211843,67.16325952,33.82889298,33.33436653,59.56581457,29.90955082,29.65626375,56.99467275,28.62014887,28.37452388,53.26331906,27.50374193,25.75957712,3.081795881,0.921039946,1.316432533,7.845162958,3.806923035,4.052709073,8.102602338,3.629836664,4.409182947,2.535921679,0.723333587,1.228824583,6.335869244,1.49258191,2.588702179,8.146398555,4.782485269,4.371321815,18.6677818,11.28302687,5.290920933,5.561390312,108.3525365,14.96385835,50.34381381,7.788793172,1.931580189,58.08613207,29.87362284,28.21250923,13.87239903,8.186441592,7.099018207,64.19309133,33.04053104,31.15256029,3.362060229,0.367660992,2.221117867,4.558956817,1.462319836,2.087429342,0,0,0,4.558956817,1.462319836,2.087429342,4.558956817,0,4.558956817,7.202759285,1.26250671,0.362987444,0.566704965,5.654694619,3.099091335,0.439142776,0,1.074548887,1.26272064,0.563866037,9.116060454,4.264295439,6.673069263,0,1.332670395,0.550486311,3.156709815,0.436957705,57.48180057,0.606560679,0,0,0,0,0,0,0,0,4.533814018,0.911189893,1.375600159,3.093157877,1.872487075,0,0,0,0,0,0,0,0.363741495,0,0,2.575248811,0.886962108,1.756488001,7.006596234,4.824766499,2.734075662,1.963685736,0,1.067644266,16.64944026,8.97923818,9.052351044,25.55949932,13.26490264,13.70988585,10.01674805,9.818328385,10.11998908,47.03684761,22.14427582,24.8925718,12.52896695,10.35408091,7.331746315,46.61218744,21.87573616,24.73645128,0,0,0,27.11906343,44.83946767,22.42381396,10.82822772,0,0,18.10969921,0,0,0,22.9317303,25.0005167,12.18980647,54.80561954,7.392321491,1.075883739,11.29833247,22.25669495,8.519588587,13.73710636,71.9585311,27.16258789,44.79594321,5.449075565,4.708854729,27.94129686,22.14427582,22.25669495,0.983017995,5.352327248,71.9585311,3.266793181,1.147677638,22.03590719,0,7.572127399,16.88852763,2.098207229,1.953218033,19.92231386,22.03590719,0,22.03590719,20.48932858,0,19.15650101,15.73782579,21.81511943,0,22.03590719,0,22.03590719,0,21.81511943,15.3832613,0,17.41624213,15.57240351,12.32746481,6.381422858,2.03332356,5.293787836,16.75239766,20.15603703,9.546176162,12.30538757,19.79786241,13.06915481,5.762816372,6.645452711,5.245278311,0,1.024379877,7.557927525,0,100039.691,-99.11256755,19.43634511,1,3,0,0,1,0,1,0,0,4,0,0,0,0,3,5,4,0,0,0,0,22
19109,0901700010403001,9,17,1,390,21,Urbana,Típica,679,359,320,27,14,13,652,345,307,635,336,299,557,300,257,531,289,242,503,275,228,27,15,12,68,30,38,73,31,42,26,11,15,28,14,14,80,45,35,188,104,58,46,89.14,148,471,60,1.77,579,311,268,100,48,52,615,325,290,18,10,8,9,5,4,0,0,0,9,5,4,9,0,9,18,20,12,8,49,19,27,4,3,4.490021013,3,169,35,129,4,25,3,33,13,454,7,4,3,2.919489968,0,1.183298839,0,0,0,21,11,10,26,16,10,2.312279324,0,0.964643516,7,5,2.030438062,9,6,3,24,20,4,65,40,25,18,9,9,142,70,72,258,136,122,10.27,9.93,10.67,351,162,189,206,138,68,337,157,180,14,5,9,205,474,298,72,1.173417942,6,105,0,9.845246783,1.565970255,221,246,90,500,77,14,88,200,90,110,679,307,372,227,200,227,200,200,21,6,679,3.4,1.01,199,0,70,130,6,37,157,200,0,200,200,0,170,156,200,0,200,0,200,0,200,142,0,187,161,123,46,19,32,153,185,102,122,180,149,78,61,38,6,6,35,0,8526.289349,-99.1158113,19.43728993,1,3,1,0,0,0,0,1,0,0,0,1,0,1,2,0,2,0,0,0,0,12
19110,0901700010403001,9,17,1,390,13,Urbana,Típica,461,237,224,25,17,8,436,220,216,421,212,209,352,180,172,328,171,157,305,159,146,24,11,13,60,29,31,64,28,36,24,9,15,23,12,11,45,24,21,127,39,24,15,94.51,133,298,30,1.96,386,195,191,74,41,33,411,206,205,10,6,4,5,4,4.52194217,0,0,0,5,4,4.52194217,5,0,5,9,3,6.122511672,6.525186168,8,4,11.48410237,3.287661653,3,4.278219375,0,28,19,8,4,8,2.279683263,4,3,424,7,5.303752583,5,3,1.260729819,1.704045465,3.085855142,0,1.309360577,13,7,6,14,7,7,0,0,0,6,5,0.504103236,5,4,2.588191287,16,10,6,36,17,19,18,10,8,104,60,44,140,66,74,9.84,9.5,10.21,229,98,131,123,82,41,219,96,123,10,3.762890801,8,142,319,128,25,0,0,151,0,10,5,126,178,48,335,71,2.84811252,54,136,58,78,461,196,265,147,136,147,136,136,10,5.46885737,461,3.39,0.97,136,0,11,125,0,8,128,136,0,136,136,0,136,133,136,0,136,0,136,0,136,93,0,125,113,82,38,12,19,104,132,48,87,125,104,55,31,28,2.386560112,9,29,0,7286.007184,-99.11663679,19.43846212,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,2,0,7
19111,0901700010403001,9,17,1,390,12,Urbana,Típica,128,62,66,3,3,0,125,59,66,122,58,64,113,53,60,107,52,55,98,50,48,4,2.931843195,2.938442262,8,4,4,11,3,8,6,3.010083208,5,9,3.404960564,7,14,8,6,33,24,12,12,106.45,21,92,15,1.79,114,55,59,14,7,7,116,56,60,6,2.557280341,4,4,1.331248748,3,0,0,0,4,1.331248748,3,4,0,4,7,4,3,0.686086987,7,5,0.522447894,0,3,3,0.616808101,21,6,15,0,8,0,8,3,99,2.105738588,0,0,0,0,0,0,0,0,6,2.730352198,5,4,3.532777483,2.158799272,0,0,0,0,0,0,1.759913603,0,0,3,3.343344349,2.218769535,15,8,7,5,2.520040629,3,28,10,18,50,28,22,9.91,10.06,9.76,80,36,44,33,17,16,79,35,44,1.309162876,0.533677137,0,51,77,36,12,0,0,30,0,0,0,41,51,21,86,24,3,15,37,10,27,128,29,99,38,37,37,36,37,3.368565336,0,128,3.46,1.01,37,0,10,27,3,7,27,37,0,37,36,0,32,22,37,0,37,0,37,0,37,24,0,30,28,24,10,3,13,33,35,12,24,34,28,12,8,9,0,2.667974175,9,0,1813.906085,-99.11669987,19.43899035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19112,0901700010403001,9,17,1,390,10,Urbana,Contenedora,4,2,2,2.925800263,1.323075805,1.018578662,67.64259746,33.90539343,33.73720403,65.39866836,32.70943551,32.68923284,58.02299647,28.96345044,29.05954604,55.58095128,27.72072766,27.86022363,51.96787001,26.61574736,25.35212265,2.956220497,0.970978652,1.190171412,7.789729047,3.640582164,3.932926647,7.999259188,3.477747523,4.30300646,2.290832444,0.640849437,1.086874764,6.117663994,1.493472339,2.388326872,7.94960869,4.783958555,4.295767607,18.18400238,11.18579178,5.142931566,5.516653946,110.5996278,14.65112068,49.14165058,7.636005828,1.949015938,56.5853163,28.95618745,27.62912885,13.64675567,7.660226198,7.010938918,62.63921303,31.97226577,30.66694726,3.032313176,0.381869193,1.999875135,4.499720011,1.499276223,2.092415008,0,0,0,4.499720011,1.499276223,2.092415008,4.499720011,0,4.499720011,7.33680659,2.769168979,1.167974646,0.644816422,5.483818111,3.004344436,0.476024831,0,0.947652222,1.162157593,0.495538413,8.9372776,3.371658471,6.561367409,0,1.20182025,0.526735749,2.925650088,0.405948318,56.13855167,0.589889407,0,0,0,0,0,0,0,0,3.881201761,0.71529943,1.280905506,2.968169591,1.749310537,0,0,0,0,0,0,0,0.360550896,0,0,2.493909706,0.853376429,1.654115435,6.981830268,4.782146772,2.707210409,1.882339493,0,1.014306594,16.08673078,9.144996844,8.746022322,24.84654874,12.75689634,13.38610467,10.01895949,9.79396369,10.13881613,45.98776766,21.50278649,24.48498117,12.03522881,10.21219542,7.178346661,45.5904769,21.25143965,24.33903725,0,0,0,26.18628296,44.04578901,22.33563073,11.09782787,0,0,18.39071431,0,0,0,22.40431472,24.44806973,11.56955179,53.68181329,7.192614466,0.971227146,10.89456874,21.6081894,8.147338337,13.46085106,70.23207197,26.3698356,43.86223636,0,0,27.54169129,21.50278649,21.6081894,0.938741766,5.664142933,70.23207197,3.289043001,1.178102197,21.40481375,0,7.143551317,16.05516475,2.105005087,2.001927104,18.78444276,21.40481375,0,21.40481375,19.703767,0,18.46865273,15.21774671,21.20143809,0,21.40481375,0,21.40481375,0,21.20143809,14.97979233,0,16.80146263,14.96506854,11.86162328,6.129809886,2.03396057,5.196098143,16.19700646,19.5356419,9.112811928,11.91119471,19.18456732,12.61826771,6.041140425,6.501902808,4.811289297,0,1.045610918,7.468241705,0,8074.675761,-99.11877319,19.43953386,17,7,3,0,1,0,1,0,0,5,0,0,0,0,9,3,4,0,0,0,0,50
19113,0901700010403001,9,17,1,390,9,Urbana,Contenedora,65,32,33,3.455198577,1.50354586,0.732379211,63,31,32,63,31,32,56,27,29,55,27,28,51,26,25,3.138857809,0,1.385465554,6,4,4.215577448,5,3,4.155323679,2.535502646,0,0.974039334,4,1.336724375,3,10,5,5,15,7,4,3,103.13,10,52,3,2.07,49,26,23,16,6,10,55,30,25,8,0.468030738,7,1.393377522,0,0,0,0,0,1.393377522,0,0,1.393377522,0,1.393377522,3,0,0,0,7,3,0.590559908,0,1.02757787,0,0.48027184,7,3,5,0,0,0,1.560905202,0,51,0.596199445,0,0,0,0,0,0,0,0,3.396515761,0.56399137,0,2.748170195,1.550281811,0,0,0,0,0,0,0,0.246846956,0,0,3,0.982356445,0.894046326,7,6,2.071920066,1.915123045,0,0.801630272,23,9,14,17,9,8,9.05,9.04,9.07,50,23,27,6,4,5.209539257,50,23,27,0,0,0,31,34,24,3,0,0,4,0,0,0,21,16,19,46,4.498503791,3,14,23,13,10,65,39,26,29,23,29,23,23,1.373682136,5,65,2.83,1.02,22,0,7,15,2.150890927,0,20,22,0,22,22,0,18,18,21,0,22,0,22,0,21,18,0,17,18,14,4,0,0,16,20,7,11,20,11,5,5,4,0,1.238805782,8,0,4150.583281,-99.11961254,19.43972694,0,2,0,0,0,1,0,0,0,1,0,2,0,0,2,2,1,0,0,1,0,12
19114,0901700010403001,9,17,1,371,13,Urbana,Típica,92,56,36,3,1.698322895,0.930490232,89,54,35,87,54,33,79,47,32,73,43,30,68,41,27,3.893589722,0,1.801387223,8,7,4.0254914,11,8,3,6,4,1.595064563,5,1.925472625,3,7,4,3,26,16,10,6,64.29,19,58,15,1.36,74,44,30,18,12,6,86,53,33,4.037927221,0.885441199,0,1.766582248,1.858211385,0,0,0,0,1.766582248,1.858211385,0,1.766582248,0,1.766582248,3.187394873,4,0.475300041,0.700363468,7,4,0,0,3,5,3,11,5,7,0,1.440810855,3,5,0.467450694,74,0,0,0,0,0,0,0,0,0,5,0.988508293,3,4,3,0.441355569,0,0,0,0,0,0,0.420841706,0,0,2.51758201,2.059438116,1.639334745,5,3,2.68766998,0,0,0,20,11,9,43,27,16,11.42,11.91,10.73,52,29,23,27,18,9,50,28,22,0,0,0,33,59,28,16,0,0,17,0,0,0,32,33,14,74,6,1.582159475,11,29,12,17,92,31,61,29,29,29,29,29,0,0,92,3.17,0.65,29,0,9,20,0,0,29,29,0,29,29,0,29,17,29,0,29,0,29,0,29,16,0,25,21,18,12,2.273214611,10,27,26,14,21,25,20,7,11,6,0,0,9,0,4444.909836,-99.11441423,19.43874932,2,5,0,0,0,0,0,0,0,0,0,0,0,1,6,3,3,0,0,1,0,21
19119,0901700010403001,9,17,1,390,11,Urbana,Típica,222,122,100,12,5,7,210,117,93,203,114,89,191,106,85,185,102,83,173,96,77,9,5,4,10,6,4,14,9,5,6,4,5.454056688,12,6,6,24,13,11,66,39,25,14,81.97,37,157,28,1.61,187,109,78,35,13,22,201,113,88,5.568114158,3.609011208,2.456301471,5.595447553,2.915767291,0,0,0,0,5.42859277,2.915767291,0,5.595447553,0,5.42859277,9,3.165640036,1.231032754,0.480117186,17,10,5,1.082106207,2.957341955,0.925817415,6,8,5,3,0,5.138516266,0,6.979564008,6,197,4.730054336,0,2.349968911,0,0,0,0,0,0,10,6,4,10,6,4,0,0,0,3,0.90872454,0,4,3,1.300760532,4,4.062381745,3.771626885,27,17,10,4,3,3.574762179,52,23,29,88,51,37,10.43,10.31,10.57,120,50,70,71,56,15,120,50,70,0,0,0,89,133,58,39,0,4,34,0,0,0,83,80,28,114,36,6,66,61,25,36,222,103,119,67,61,67,61,61,4,1.606308615,222,3.64,1.09,61,0,18,43,0.513336992,8,51,61,0,61,61,0,60,54,59,0,61,0,61,0,59,44,0,61,50,39,16,5,6,48,58,23,42,55,39,18,6,8,0.626695265,0,21,0,3383.646962,-99.11761124,19.43917648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,3
19126,0901700010403001,9,17,1,367,16,Urbana,Típica,75,38,37,3,1.585079454,0.781820628,72,37,35,69,35,34,56,30,26,53,28,25,51,28,23,5,0.733320847,3,11,5,6,10,5,5,3,0.781791281,1.047167026,5.611943235,0,1.577435487,8,3,5,21,5,3,4.694861262,97.37,22,48,5,1.86,63,32,31,12,6,6,67,34,33,3.824955586,0.458513413,2.255936023,4,1.654690586,2.050914751,0,0,0,4,1.654690586,2.050914751,4,0,4,6,0,0,0,6,4,0.544908304,0,1.184532177,1.363154178,0,8,3,6,0,0,0,1.712485244,0,61,0.633485339,0,0,0,0,0,0,0,0,3.560112363,0,0.584506759,2.89464972,1.69944605,0,0,0,0,0,0,0,0,0,0,3,1.041531624,1.395342297,4,4,0,3,0,0.801629369,13,8,5,27,12,15,10.23,9.64,10.88,47,24,23,9,6,3,47,24,23,0,0,0,27,48,25,9.907807793,0,0,21,0,0,0,21,28,7,60,3,0,12,24,9,15,75,29,46,29,24,29,24,24,3,5.529767619,75,3.13,0.84,24,0,7.066291171,22,2.1474677,1.311702606,22,24,0,24,24,0,24,23,24,0,24,0,24,0,24,17,0,21,17,11,4,4,6,14,23,14,10,23,13,5.53383012,7,6,0,1.182512513,7,0,1560.047904,-99.12140673,19.44193117,0,5,0,0,0,0,0,0,0,1,0,2,0,0,9,5,1,0,0,0,0,23
19127,0901700010403001,9,17,1,367,8,Urbana,Típica,913,465,448,32,16,16,881,449,432,859,440,419,763,389,374,730,374,356,688,356,332,37,18,19,81,42,39,84,42,42,33,15,18,42,18,24,109,52,57,242,144,81,63,96.34,183,631,99,1.84,744,373,371,167,92,75,806,411,395,53,29,24,17,10,7,0,0,0,17,10,7,17,0,17,38,11,6,5,69,29,41,0,10,6.721183849,3,128,27,84,7,23,3,24,10,708,11,6,5,0,0,0,0,0,0,32,14,18,42,21,21,3.353921534,0,1.525014932,11,8,3,11,6,5,35,24,11,75,38,37,38,17,21,205,102,103,346,173,173,10.28,10.13,10.44,537,256,281,226,133,93,529,255,274,8,4.329926332,7,313,600,331,72,4,8,176,0,11,3.226929138,270,306,187,615,116,6,176,269,122,147,913,398,515,311,269,309,267,269,36,6,913,3.39,1,268,0,52,216,0,9,259,268,0,268,268,0,268,267,268,0,268,0,268,0,268,193,0,243,222,158,53,32,58,243,260,134,175,253,202,86,79,61,4.515164422,3,58,0,18022.21163,-99.1227617,19.43797726,0,2,0,0,0,0,3,1,0,0,1,3,0,4,4,3,1,0,0,0,0,22
